#        name,          rb,          rb_err
              BD-064196 ,   4.436,   2.587
              BD-082534 ,   5.517,   5.595
              BD-160308 ,   7.807,   3.367
              HD100289  ,   4.173,   1.929
              HD100777  ,   2.736,   0.959
              HD101339  ,   6.491,   1.366
              HD101367  ,   2.376,   0.873
              HD101612  ,  11.144,   0.991
              HD101644  ,   8.256,   3.904
              HD10180   ,   5.874,   0.861
              HD102117  ,   2.313,   1.011
              HD102200  ,  12.539,   5.167
              HD102300  ,   8.832,   1.433
              HD102365  ,   4.538,   4.358
              HD102438  ,   4.446,   4.345
              HD103720  ,   3.648,   2.966
              HD103891  ,   9.967,   0.740
              HD104263  ,   1.848,   3.753
              HD104760A ,   6.171,   0.689
              HD104800  ,   4.465,   5.699
              HD104982  ,   6.465,   2.299
              HD105779  ,   6.065,   3.079
              HD105837  ,   7.222,   4.227
              HD105938  ,   7.457,   0.686
              HD106116  ,   4.049,   0.945
              HD106275  ,   3.966,   3.523
              HD106290  ,   6.477,   0.682
              HD10647   ,   9.339,   0.703
              HD106589  ,   1.792,   4.500
              HD10700   ,   6.072,   4.821
              HD107094  ,   5.317,   4.713
              HD108147  ,   6.691,   0.708
              HD108309  ,   3.952,   1.389
              HD109098  ,   5.845,   0.904
              HD109200  ,   3.794,   4.481
              HD109271  ,   3.814,   1.469
              HD109310  ,   6.402,   4.522
              HD109409  ,   3.444,   0.684
              HD109684  ,   7.890,   2.297
              HD109988  ,   1.359,   3.254
              HD110291  ,   4.090,   2.483
              HD110619  ,   5.750,   4.175
              HD111031  ,   3.356,   0.884
              HD111232  ,   3.269,   4.861
              HD111564  ,   5.751,   0.862
              HD11226   ,   6.813,   0.790
              HD112283  ,  10.669,   0.720
              HD113101  ,   2.642,   3.955
              HD113569  ,   5.739,   3.418
              HD11397   ,   2.908,   5.240
              HD114076  ,   6.113,   4.623
              HD114561  ,   7.770,   0.892
              HD114613  ,   4.879,   0.741
              HD114729  ,   7.675,   1.953
              HD114853  ,   6.223,   2.721
              HD11505   ,   4.789,   3.616
              HD115341  ,   7.694,   0.744
              HD115585  ,   1.903,   0.807
              HD115617  ,   4.345,   2.422
              HD115674  ,   7.362,   1.339
              HD115773  ,   8.991,   0.730
              HD115902  ,   3.897,   2.797
              HD116259  ,   3.434,   1.948
              HD116284  ,   5.416,   1.432
              HD1171    ,   9.429,   3.165
              HD117105  ,   6.557,   3.114
              HD117207  ,   3.091,   0.955
              HD117359  ,   3.595,   3.745
              HD117618  ,   6.587,   0.827
              HD119173  ,   4.790,   5.170
              HD119638  ,   8.537,   0.897
              HD11964A  ,   4.620,   1.162
              HD119782  ,   3.093,   3.583
              HD120344  ,   1.351,   4.588
              HD121504  ,   6.581,   0.713
              HD122308  ,   7.205,   2.783
              HD122474  ,   3.933,   1.181
              HD122862  ,   6.992,   1.175
              HD123265  ,   1.301,   2.902
              HD12345   ,   5.565,   2.967
              HD123619  ,  10.018,   1.043
              HD123651  ,   6.821,   4.053
              HD12387   ,   2.310,   4.432
              HD124106  ,   5.699,   2.605
              HD124292  ,   2.728,   4.149
              HD124364  ,   8.173,   1.494
              HD124785  ,  11.964,   1.357
              HD125184  ,   2.479,   1.030
              HD125455  ,   3.819,   3.961
              HD125612  ,   5.222,   0.659
              HD125881  ,   7.594,   0.667
              HD126525  ,   3.582,   3.591
              HD126681  ,   8.912,   6.310
              HD126793  ,   6.367,   5.277
              HD126803  ,   4.613,   5.340
              HD128340  ,  12.715,   1.193
              HD128431  ,   5.897,   3.441
              HD128571  ,  10.030,   1.173
              HD129191  ,   4.412,   0.749
              HD130989  ,  10.935,   0.668
              HD131183  ,   2.905,   2.696
              HD131664  ,   4.419,   0.687
              HD1320    ,   8.578,   1.193
              HD132569  ,   6.154,   3.167
              HD132648  ,   4.360,   4.568
              HD133633  ,   2.236,   5.087
              HD134060  ,   5.900,   0.714
              HD134088  ,   5.966,   5.290
              HD134113  ,   8.590,   4.747
              HD134606  ,   2.586,   0.874
              HD134664  ,   6.327,   0.678
              HD134702  ,   6.280,   1.066
              HD134929B ,   2.947,   2.821
              HD134985  ,   7.893,   4.373
              HD134987  ,   3.141,   0.848
              HD135468  ,   8.510,   0.730
              HD135625  ,   5.382,   0.828
              HD13578   ,   5.777,   1.267
              HD136352  ,   4.314,   4.294
              HD136894  ,   1.121,   4.187
              HD13724   ,   5.474,   0.723
              HD137676  ,   7.245,   4.254
              HD13808   ,   4.191,   3.902
              HD138549  ,   5.395,   1.183
              HD1388    ,   6.685,   0.928
              HD139590  ,   6.248,   0.682
              HD140785  ,   5.853,   1.309
              HD140901  ,   5.993,   0.859
              HD141128  ,   8.329,   0.675
              HD141597  ,  12.395,   0.809
              HD141598  ,   2.783,   3.942
              HD141624  ,   6.013,   3.849
              HD141937  ,   6.818,   0.655
              HD142     ,   7.264,   0.708
              HD142879  ,   7.604,   3.373
              HD143114  ,   3.361,   4.803
              HD143638  ,   8.078,   1.673
              HD143790  ,   9.341,   0.666
              HD144585  ,   3.520,   0.630
              HD144628  ,   3.895,   4.861
              HD144846  ,   6.821,   0.662
              HD145344  ,  11.471,   2.763
              HD145377  ,   6.593,   0.698
              HD145598  ,   4.377,   5.751
              HD145666  ,   8.539,   0.673
              HD145809  ,   7.047,   2.212
              HD145927  ,   5.502,   1.455
              HD1461    ,   4.652,   0.850
              HD147195  ,   5.690,   1.555
              HD14744   ,   5.437,   2.808
              HD14745   ,  10.380,   0.730
              HD14747   ,   1.367,   5.023
              HD147512  ,   3.070,   3.570
              HD148211  ,   7.846,   4.814
              HD148577  ,   3.464,   3.693
              HD149200  ,   6.613,   0.706
              HD149724  ,   2.258,   0.799
              HD150139  ,   8.679,   3.376
              HD150177  ,  13.681,   1.057
              HD150433  ,   2.273,   4.618
              HD150437  ,   3.197,   0.790
              HD150474  ,   5.693,   1.011
              HD151504  ,   1.935,   3.383
              HD151933  ,   5.539,   3.161
              HD152433  ,   8.478,   0.846
              HD153276  ,   6.366,   0.867
              HD153851  ,   6.545,   3.076
              HD153950  ,   7.044,   0.944
              HD154088  ,   2.476,   0.880
              HD154962  ,   3.572,   0.677
              HD156079  ,   3.978,   0.696
              HD156098  ,   6.253,   0.685
              HD156411  ,   8.889,   0.729
              HD157172  ,   4.285,   1.113
              HD157338  ,   7.995,   0.890
              HD157347  ,   4.893,   1.461
              HD157830  ,   7.567,   1.888
              HD1581    ,   9.447,   0.843
              HD159868  ,   7.062,   0.980
              HD16008   ,   6.777,   1.126
              HD160089  ,   6.855,   0.673
              HD160691  ,   2.926,   0.816
              HD161098  ,   4.942,   3.855
              HD161256  ,   2.756,   2.059
              HD16141   ,   3.720,   1.048
              HD162396  ,   9.550,   1.270
              HD16382   ,   6.505,   0.872
              HD16417   ,   4.294,   0.959
              HD165131  ,   6.691,   0.761
              HD16548   ,   4.937,   0.846
              HD166745  ,   2.420,   1.337
              HD16714   ,   3.786,   4.112
              HD167300  ,   7.487,   3.851
              HD167677  ,   2.894,   4.624
              HD168746  ,   3.030,   3.789
              HD168769  ,   3.449,   3.096
              HD168870  ,   5.218,   3.967
              HD168871  ,   6.849,   1.050
              HD169830  ,   5.890,   0.671
              HD17051   ,   6.699,   0.707
              HD171028  ,  12.933,   0.964
              HD171587  ,   5.591,   5.196
              HD171665  ,   5.915,   1.190
              HD171942  ,   4.462,   3.023
              HD171990  ,   6.898,   0.692
              HD173885  ,  10.011,   0.779
              HD174153  ,   8.534,   0.730
              HD175179  ,   3.701,   5.446
              HD17548   ,   8.555,   3.979
              HD175607  ,   5.097,   5.180
              HD176157  ,   4.137,   3.645
              HD176354  ,   3.627,   0.843
              HD177122  ,   8.840,   0.730
              HD177409  ,   8.156,   0.691
              HD177565  ,   5.480,   0.885
              HD17865   ,   5.788,   5.093
              HD178904  ,   4.446,   1.081
              HD179346  ,   9.435,   0.668
              HD179949  ,   6.204,   0.661
              HD180409  ,   9.303,   0.799
              HD18083   ,   8.501,   0.694
              HD181249  ,   3.710,   3.741
              HD181428  ,   6.822,   0.697
              HD181720  ,   8.232,   3.872
              HD183658  ,   7.118,   0.747
              HD185615  ,   2.627,   2.982
              HD186302  ,   6.245,   0.987
              HD18838   ,   5.572,   2.652
              HD188748  ,   6.142,   1.750
              HD188815  ,  11.709,   1.369
              HD189242  ,   6.611,   3.651
              HD189567  ,   4.851,   3.717
              HD189625  ,   6.130,   0.720
              HD19034   ,   6.107,   4.503
              HD190613  ,   4.168,   2.164
              HD190647  ,   2.320,   1.409
              HD190954  ,   2.653,   4.696
              HD190984  ,  12.801,   1.009
              HD191033  ,   9.783,   0.767
              HD191847  ,   4.788,   3.459
              HD192865  ,   6.414,   0.681
              HD193193  ,   6.462,   1.055
              HD19423   ,   3.349,   3.495
              HD19467   ,   4.346,   3.560
              HD194717  ,   4.279,   4.096
              HD195200  ,   8.488,   0.744
              HD195564  ,   5.007,   0.945
              HD195633  ,  11.821,   1.247
              HD196050  ,   4.334,   0.759
              HD19641   ,   5.704,   1.097
              HD196761  ,   4.902,   4.057
              HD196800  ,   5.232,   0.670
              HD196892  ,  10.642,   4.719
              HD197083  ,   5.507,   4.658
              HD197197  ,   8.992,   2.581
              HD197210  ,   6.062,   1.021
              HD197300  ,   8.677,   0.655
              HD197536  ,   9.933,   1.475
